id,call_uuid,call_session_id,parent_call_uuid,caller_id_number,caller_id_name,destination_number,destination_name,direction,is_billing_leg,context,domain_name,call_created_at,call_ringing_at,call_answered_at,call_bridged_at,call_ended_at,ring_duration,talk_duration,total_duration,billable_duration,call_status,hangup_cause,hangup_disposition,answer_disposition,caller_ip_address,callee_ip_address,sip_user_agent,codec_used,gateway_used,route_used,trunk_used,audio_quality_score,packet_loss_percent,jitter_ms,latency_ms,billing_account,recording_enabled,recording_file_path,transfer_occurred,conference_used,voicemail_used,custom_field_1,custom_field_2,custom_field_3,created_at,updated_at,processed_at
d789d214-6228-4ee0-b3d5-31c73f19b6eb,6727802d-7041-421f-9543-d96cb422d9fc,,,1001,,1002,,internal,f,default,localhost,2025-07-13 05:51:12.993+00,,2025-07-13 05:51:17.292+00,,2025-07-13 05:51:27.095+00,4,9,14,9,completed,NORMAL_CLEARING,,answered,185.199.108.133,,Z 5.6.9 v2.10.20.8,,,,,5.00,,3.00,19.99,,f,,f,f,f,,,,2025-07-13 05:51:13.007039+00,2025-07-13 05:51:27.139902+00,2025-07-13 05:51:27.136+00
87d3b53d-24de-4bdf-a074-fe758ec4c630,10b8ad4c-4b2c-43bc-8e48-cbf3e060f658,,,1001,,1002,,internal,f,default,localhost,2025-07-13 08:55:36.933+00,,2025-07-13 08:55:39.076+00,,2025-07-13 08:57:37.177+00,2,118,120,118,completed,NORMAL_CLEARING,,answered,185.199.108.133,,Z 5.6.9 v2.10.20.8,,,,,5.00,,0.25,19.99,,f,,f,f,f,,,,2025-07-13 11:04:32.30746+00,2025-07-13 11:06:32.571354+00,2025-07-13 11:06:32.566+00
510bcab9-5d51-445d-ba08-459cf4198523,e4710b25-5b75-4250-8b4c-1a9dd05b7f40,,,1001,,1002,,internal,t,default,,2025-07-13 08:55:36.953+00,,2025-07-13 08:55:39.076+00,,2025-07-13 08:57:37.177+00,2,118,120,118,completed,NORMAL_CLEARING,,answered,185.199.108.133,,,,,,,4.88,,0.33,20.13,,f,,f,f,f,,,,2025-07-13 11:04:32.320854+00,2025-07-13 11:06:32.572278+00,2025-07-13 11:06:32.568+00
5f13b4bd-8670-4d63-b965-f5e3c8420aab,a7af0d3b-10bd-40e0-ac48-a57eb3d70e40,,,1001,,1002,,internal,t,default,,2025-07-13 11:29:43.973+00,,2025-07-13 11:29:46.474+00,,2025-07-13 11:29:56.534+00,2,10,12,10,completed,NORMAL_CLEARING,,answered,185.199.108.133,,,,,,,4.80,,244.40,20.10,,f,,f,f,f,,,,2025-07-13 11:29:44.01292+00,2025-07-13 11:29:56.565385+00,2025-07-13 11:29:56.562+00
0a0abbf3-7db7-4e85-9e6e-54c06fe397f5,afcefe82-6ada-46d8-ad51-bf07a2e5aee0,,,1001,,1002,,internal,f,default,localhost,2025-07-13 11:29:43.953+00,,2025-07-13 11:29:46.474+00,,2025-07-13 11:29:56.534+00,2,10,12,10,completed,NORMAL_CLEARING,,answered,185.199.108.133,,Z 5.6.9 v2.10.20.8,,,,,5.00,,40.13,20.06,,f,,f,f,f,,,,2025-07-13 11:29:43.990291+00,2025-07-13 11:29:56.581721+00,2025-07-13 11:29:56.579+00
7aa24b34-81ae-4243-8467-997afce8ab01,03570beb-66b6-40df-82a5-1ab2e2052e31,,,1001,,1002,,internal,t,default,,2025-07-13 11:32:34.979+00,,2025-07-13 11:32:36.736+00,,2025-07-13 11:32:49.3+00,1,12,14,12,completed,NORMAL_CLEARING,,answered,185.199.108.133,,,,,,,4.92,,104.04,20.07,,f,,f,f,f,,,,2025-07-13 11:32:35.031855+00,2025-07-13 11:32:49.375927+00,2025-07-13 11:32:49.373+00
91c120d9-d1e3-4f3c-a824-3225c358ce9d,0b9becf6-b47f-47cd-a588-d36df4aa8b5c,,,1001,,1002,,internal,f,default,localhost,2025-07-13 11:32:34.936+00,,2025-07-13 11:32:36.756+00,,2025-07-13 11:32:49.337+00,1,12,14,12,completed,NORMAL_CLEARING,,answered,185.199.108.133,,Z 5.6.9 v2.10.20.8,,,,,5.00,,153.51,20.09,,f,,f,f,f,,,,2025-07-13 11:32:35.000679+00,2025-07-13 11:32:49.376359+00,2025-07-13 11:32:49.374+00
320ca184-32d3-48d4-a687-926268ccae4a,92de9707-9a1c-4520-8077-4578b95f2053,,,1001,,1002,,internal,t,default,,2025-07-13 11:35:34.363+00,,2025-07-13 11:35:35.943+00,,2025-07-13 11:35:45.241+00,1,9,10,9,completed,NORMAL_CLEARING,,answered,185.199.108.133,,,,,,,4.96,,0.50,20.10,,f,,f,f,f,,,,2025-07-13 11:35:34.413929+00,2025-07-13 11:35:45.295179+00,2025-07-13 11:35:45.289+00
06dfddd4-5d0a-4c29-bff7-f2c193c5c518,b4975436-e743-4504-8c0b-4130c63d4f33,,,1001,,1002,,internal,f,default,localhost,2025-07-13 11:35:34.323+00,,2025-07-13 11:35:35.943+00,,2025-07-13 11:35:45.241+00,1,9,10,9,completed,NORMAL_CLEARING,,answered,185.199.108.133,,Z 5.6.9 v2.10.20.8,,,,,5.00,,0.06,19.97,,f,,f,f,f,,,,2025-07-13 11:35:34.381986+00,2025-07-13 11:35:45.295697+00,2025-07-13 11:35:45.292+00
8b536f66-207c-4f55-85fe-77b92ff0ce61,3d2fc6cf-07cf-4ae4-93cc-d136a3e10860,,,1001,,1002,,internal,f,default,localhost,2025-07-13 11:37:45.493+00,,,,2025-07-13 11:37:52.133+00,0,0,6,0,completed,ORIGINATOR_CANCEL,,,185.199.108.133,,Z 5.6.9 v2.10.20.8,,,,,,,,,,f,,f,f,f,,,,2025-07-13 11:37:45.54417+00,2025-07-13 11:37:52.164749+00,2025-07-13 11:37:52.16+00
582ac511-2b3b-46e6-9691-3c05616d980f,d61bc407-c5f6-43d3-a9c6-51388c60232d,,,1001,,1002,,internal,t,default,,2025-07-13 11:37:45.513+00,,,,2025-07-13 11:37:52.133+00,0,0,6,0,completed,ORIGINATOR_CANCEL,,,185.199.108.133,,,,,,,,,,,,f,,f,f,f,,,,2025-07-13 11:37:45.571138+00,2025-07-13 11:37:52.166669+00,2025-07-13 11:37:52.162+00
39871220-2c4e-4817-8322-73be6a77bb18,e4780ea0-b791-4eaf-a323-ae49b8d200cc,,,1001,,1002,,internal,t,default,,2025-07-13 11:37:55.333+00,,,,2025-07-13 11:38:07.433+00,0,0,12,0,completed,ORIGINATOR_CANCEL,,,185.199.108.133,,,,,,,,,,,,f,,f,f,f,,,,2025-07-13 11:37:55.366642+00,2025-07-13 11:38:07.474523+00,2025-07-13 11:38:07.471+00
cd8e1310-d146-4387-b643-55a1aa49b2f9,3f3bf4a3-4733-4612-9706-ff1406fa01b7,,,1001,,1002,,internal,f,default,localhost,2025-07-13 11:37:55.313+00,,,,2025-07-13 11:38:07.433+00,0,0,12,0,completed,ORIGINATOR_CANCEL,,,185.199.108.133,,Z 5.6.9 v2.10.20.8,,,,,,,,,,f,,f,f,f,,,,2025-07-13 11:37:55.345743+00,2025-07-13 11:38:07.474939+00,2025-07-13 11:38:07.473+00
c833cb92-e655-40d9-ad6a-c125303849b3,cbb115b6-dbe1-4444-a021-dd821ecb2a88,,,1002,,1001,,internal,t,default,,2025-07-13 11:41:11.393+00,,2025-07-13 11:41:14.993+00,,2025-07-13 11:41:20.693+00,3,5,9,5,completed,NORMAL_CLEARING,,answered,185.199.108.133,,,,,,,5.00,,0.20,20.00,,f,,f,f,f,,,,2025-07-13 11:41:11.435128+00,2025-07-13 11:41:20.736426+00,2025-07-13 11:41:20.733+00
726980fb-7a65-40eb-973d-6bb3fe3fd83a,7d85ef89-ac21-4545-b565-5baed4a48511,,,1002,,1001,,internal,f,default,localhost,2025-07-13 11:41:11.393+00,,2025-07-13 11:41:15.013+00,,2025-07-13 11:41:20.693+00,3,5,9,5,completed,NORMAL_CLEARING,,answered,185.199.108.133,,Zoiper v2.10.20.6,,,,,4.96,,0.13,20.10,,f,,f,f,f,,,,2025-07-13 11:41:11.421255+00,2025-07-13 11:41:20.737127+00,2025-07-13 11:41:20.734+00
44feaca3-f8fd-4ede-8c0d-f81f212d87e2,71a2542a-4022-47dc-a53b-d7ec07a8d19a,,,1001,,1002,,internal,t,default,,2025-07-13 11:46:25.913+00,,2025-07-13 11:46:27.153+00,,2025-07-13 11:46:34.634+00,1,7,8,7,completed,NORMAL_CLEARING,,answered,185.199.108.133,,,,,,,4.88,,14.93,20.13,,f,,f,f,f,,,,2025-07-13 11:46:25.978902+00,2025-07-13 11:46:34.673536+00,2025-07-13 11:46:34.671+00
035c3831-443a-4ab8-8dd7-f700d45e6bf8,8d6ce40d-c852-4f4d-b9c7-1ccfe4ee429f,,,1001,,1002,,internal,f,default,localhost,2025-07-13 11:46:25.876+00,,2025-07-13 11:46:27.173+00,,2025-07-13 11:46:34.634+00,1,7,8,7,completed,NORMAL_CLEARING,,answered,185.199.108.133,,Z 5.6.9 v2.10.20.8,,,,,5.00,,0.30,20.00,,f,,f,f,f,,,,2025-07-13 11:46:25.94474+00,2025-07-13 11:46:34.691543+00,2025-07-13 11:46:34.689+00
